Job Title;Rating;Company Name;Location;Headquarters;Size;Founded;Type of ownership;Industry;Sector;Revenue;max_salary;company_txt;job_state;same_state;age;python_yn;spark;aws;excel;job_simp;num_comp
Data Scientist;3.8;"Tecolote Research
3.8";Albuquerque, NM;Goleta, CA;501 to 1000 employees;1973;Company - Private;Aerospace & Defense;Aerospace & Defense;$50 to $100 million (USD);91;Tecolote Research;NM;0;47;1;0;0;1;data scientist;0
Healthcare Data Scientist;3.4;"University of Maryland Medical System
3.4";Linthicum, MD;Baltimore, MD;10000+ employees;1984;Other Organization;Health Care Services & Hospitals;Health Care;$2 to $5 billion (USD);112;University of Maryland Medical System;MD;0;36;1;0;0;0;data scientist;0
Data Scientist;4.8;"KnowBe4
4.8";Clearwater, FL;Clearwater, FL;501 to 1000 employees;2010;Company - Private;Security Services;Business Services;$100 to $500 million (USD);90;KnowBe4;FL;1;24;1;1;0;1;data scientist;0
Data Scientist;3.8;"PNNL
3.8";Richland, WA;Richland, WA;1001 to 5000 employees;1965;Government;Energy;Oil, Gas, Energy & Utilities;$500 million to $1 billion (USD);97;PNNL;WA;1;55;1;0;0;0;data scientist;3
Data Scientist;2.9;"Affinity Solutions
2.9";New York, NY;New York, NY;51 to 200 employees;1998;Company - Private;Advertising & Marketing;Business Services;Unknown / Non-Applicable;143;Affinity Solutions;NY;1;22;1;0;0;1;data scientist;3
Data Scientist;3.4;"CyrusOne
3.4";Dallas, TX;Dallas, TX;201 to 500 employees;2000;Company - Public;Real Estate;Real Estate;$1 to $2 billion (USD);119;CyrusOne;TX;1;20;1;0;1;1;data scientist;3
Data Scientist;4.1;"ClearOne Advantage
4.1";Baltimore, MD;Baltimore, MD;501 to 1000 employees;2008;Company - Private;Banks & Credit Unions;Finance;Unknown / Non-Applicable;93;ClearOne Advantage;MD;1;24;0;0;0;1;data scientist;0
Data Scientist;3.8;"Logic20/20
3.8";San Jose, CA;Seattle, WA;201 to 500 employees;2005;Company - Private;Consulting;Business Services;$25 to $50 million (USD);142;Logic20/20;CA;0;24;1;1;1;1;data scientist;0
Research Scientist;3.3;"Rochester Regional Health
3.3";Rochester, NY;Rochester, NY;10000+ employees;2014;Hospital;Health Care Services & Hospitals;Health Care;$500 million to $1 billion (USD);84;Rochester Regional Health;NY;1;24;0;0;0;0;na;0
Data Scientist;4.6;"<intent>
4.6";New York, NY;New York, NY;51 to 200 employees;2009;Company - Private;Internet;Information Technology;$100 to $500 million (USD);160;<intent>;NY;1;24;1;1;0;0;data scientist;2
Data Scientist;3.5;"Wish
3.5";San Jose, CA;San Francisco, CA;501 to 1000 employees;2011;Company - Private;Other Retail Stores;Retail;$1 to $2 billion (USD);201;Wish;CA;0;24;1;0;0;0;data scientist;0
Data Scientist;4.1;"ManTech
4.1";Chantilly, VA;Herndon, VA;5001 to 10000 employees;1968;Company - Public;Research & Development;Business Services;$1 to $2 billion (USD);106;ManTech;VA;0;52;0;0;0;0;data scientist;0
Staff Data Scientist - Technology;3.2;"Walmart
3.2";Plano, TX;Bentonville, AR;10000+ employees;1962;Company - Public;Department, Clothing, & Shoe Stores;Retail;$10+ billion (USD);172;Walmart;TX;0;58;0;0;0;0;data scientist;3
Data Analyst;4.1;"Yesler
4.1";Seattle, WA;Seattle, WA;201 to 500 employees;2012;Company - Private;Advertising & Marketing;Business Services;Unknown / Non-Applicable;85;Yesler;WA;1;24;1;1;1;1;analyst;0
Data Scientist;3.7;"Takeda Pharmaceuticals
3.7";Cambridge, MA;OSAKA, Japan;10000+ employees;1781;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD);144;Takeda Pharmaceuticals;MA;0;24;1;1;0;0;data scientist;3
Data Engineer I;3.6;"Audible
3.6";Newark, NJ;Newark, NJ;1001 to 5000 employees;1995;Subsidiary or Business Segment;Motion Picture Production & Distribution;Media;Unknown / Non-Applicable;190;Audible;NJ;1;25;0;0;0;1;data engineer;0
Scientist I/II, Biology;3.9;"Blueprint Medicines
3.9";Cambridge, MA;Cambridge, MA;51 to 200 employees;2011;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$1 to $5 million (USD);137;Blueprint Medicines;MA;1;24;0;0;0;1;na;3
Customer Data Scientist;4.3;"h2o.ai
4.3";Mountain View, CA;Mountain View, CA;201 to 500 employees;2011;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;189;h2o.ai;CA;1;24;1;1;1;1;data scientist;0
Data Scientist - Health Data Analytics;4.2;"Nuna
4.2";San Francisco, CA;San Francisco, CA;51 to 200 employees;2010;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;175;Nuna;CA;1;24;0;0;0;0;data scientist;0
